년월일,호기,구분,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2020-06-13,1,발전량,0,0,0,0,0,0,48,79.2,163.2,360,475.2,691.2,518.4,619.2,249.6,348,120,55.2,40.8,0,0,0,0,0
2020-06-14,1,발전량,0,0,0,0,0,0,2.4,19.2,84,84,280.8,465.6,876,1250.4,619.2,1240.8,1296,796.8,290.4,36,0,0,0,0
2020-06-15,1,발전량,0,0,0,0,0,43.2,235.2,614.4,1106.4,1550.4,2066.4,2040,2335.2,2287.2,2148,1876.8,1456.8,784.8,352.8,19.2,0,0,0,0
2020-06-16,1,발전량,0,0,0,0,0,24,201.6,676.8,1272,1742.4,1970.4,2124,2198.4,2107.2,2059.2,1711.2,1396.8,880.8,321.6,21.6,0,0,0,0
2020-06-17,1,발전량,0,0,0,0,0,21.6,187.2,489.6,1034.4,1065.6,876,1399.2,1293.6,1233.6,830.4,703.2,662.4,312,127.2,2.4,0,0,0,0
2020-06-18,1,발전량,0,0,0,0,0,0,12,76.8,153.6,276,542.4,223.2,364.8,398.4,348,254.4,146.4,67.2,45.6,4.8,0,0,0,0
2020-06-19,1,발전량,0,0,0,0,0,4.8,76.8,364.8,681.6,1036.8,1644,2013.6,2325.6,2347.2,2064,1430.4,1365.6,232.8,0,0,0,0,0,0
2020-06-20,1,발전량,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,36,0,0,0,0
2020-06-21,1,발전량,0,0,0,0,0,14.4,206.4,309.6,830.4,1423.2,1761.6,2049.6,2109.6,2088,1668,1404,813.6,472.8,280.8,19.2,0,0,0,0
2020-06-22,1,발전량,0,0,0,0,0,19.2,189.6,580.8,1036.8,1480.8,1840.8,2131.2,1984.8,2193.6,2121.6,1869.6,1495.2,928.8,316.8,33.6,0,0,0,0
2020-06-23,1,발전량,0,0,0,0,0,14.4,201.6,626.4,1166.4,1612.8,1970.4,2253.6,2342.4,2316,1747.2,1917.6,1372.8,444,151.2,12,0,0,0,0
2020-06-24,1,발전량,0,0,0,0,0,0,74.4,134.4,372,415.2,472.8,691.2,436.8,225.6,160.8,158.4,50.4,33.6,4.8,0,0,0,0,0
2020-06-25,1,발전량,0,0,0,0,0,2.4,64.8,182.4,321.6,355.2,381.6,391.2,400.8,280.8,300,252,520.8,180,48,16.8,0,0,0,0
2020-06-26,1,발전량,0,0,0,0,0,2.4,172.8,480,1106.4,1612.8,1972.8,2196,2287.2,2289.6,2150.4,1886.4,1418.4,842.4,276,50.4,0,0,0,0
2020-06-27,1,발전량,0,0,0,0,0,31.2,235.2,616.8,746.4,1123.2,1660.8,1293.6,1281.6,1615.2,794.4,1159.2,811.2,758.4,237.6,60,0,0,0,0
2020-06-28,1,발전량,0,0,0,0,0,19.2,208.8,612,1120.8,1603.2,1504.8,1888.8,2078.4,1888.8,1680,1836,1420.8,864,312,33.6,0,0,0,0
2020-06-29,1,발전량,0,0,0,0,0,0,19.2,86.4,206.4,319.2,492,468,336,136.8,67.2,26.4,235.2,28.8,0,0,0,0,0,0
2020-06-30,1,발전량,0,0,0,0,0,0,4.8,67.2,144,259.2,619.2,979.2,1108.8,1492.8,1732.8,1332,482.4,235.2,136.8,31.2,0,0,0,0
